activation,batch_size,candidate_name,data_seed,depth,error,final_training_loss,finished_at,group,hidden_size,knn_k,learning_rate,loss_kind,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,model_seed,nr_scenarios,optimality_gap_percent,replicate,reset_optimizer_each_epoch,rho,run_id,schedule_kind,started_at,status,test_policy_eval_seconds,test_sample_count,test_seed,total_epochs,training_seed
silu,1,standard,202615051,4,,950.3335877501505,1777952319037,00_baseline,128,0,0.001,dfl,805.7162362224146,852.4272993714909,46.71106314907648,0.051775428917037215,202615052,1,5.177542891703721,1,true,0.0,full_00_baseline_standard_rep01,baseline,1777948223756,ok,95.533505458,30.0,1,130,202615053
silu,1,persistent_adam,202615051,4,,928.5726089321281,1777952452497,00_baseline,128,0,0.001,dfl,805.7162362224146,857.3516999604713,51.635463738056586,0.0595646753452411,202615052,1,5.956467534524109,1,false,0.0,full_00_baseline_persistent_adam_rep01,baseline,1777948224668,ok,103.554140542,30.0,1,130,202615053
silu,1,standard,202625051,4,,889.8727193667094,1777951350788,00_baseline,128,0,0.001,dfl,805.7162362224146,871.976001758155,66.25976553574027,0.06744364540498672,202625052,1,6.7443645404986725,2,true,0.0,full_00_baseline_standard_rep02,baseline,1777948225422,ok,67.947047208,30.0,1,130,202625053
silu,1,persistent_adam,202625051,4,,865.9613237524231,1777952577341,00_baseline,128,0,0.001,dfl,805.7162362224146,842.6314273465413,36.91519112412677,0.04354937349317688,202625052,1,4.354937349317687,2,false,0.0,full_00_baseline_persistent_adam_rep02,baseline,1777948225830,ok,57.542084916,30.0,1,130,202625053
silu,1,standard,202635051,4,,904.0812739841833,1777952421278,00_baseline,128,0,0.001,dfl,805.7162362224146,881.6959623727868,75.97972615037231,0.09070951911229178,202635052,1,9.070951911229178,3,true,0.0,full_00_baseline_standard_rep03,baseline,1777948226729,ok,94.014074834,30.0,1,130,202635053
silu,1,persistent_adam,202635051,4,,899.1010833059715,1777952474162,00_baseline,128,0,0.001,dfl,805.7162362224146,897.8336049971507,92.11736877473614,0.11074769898863474,202635052,1,11.074769898863474,3,false,0.0,full_00_baseline_persistent_adam_rep03,baseline,1777948227220,ok,103.672665042,30.0,1,130,202635053
silu,1,standard,202645051,4,,938.426949884133,1777952485629,00_baseline,128,0,0.001,dfl,805.7162362224146,842.6212055407557,36.90496931834113,0.045721007158634246,202645052,1,4.572100715863424,4,true,0.0,full_00_baseline_standard_rep04,baseline,1777948227359,ok,96.967315958,30.0,1,130,202645053
silu,1,persistent_adam,202645051,4,,920.1153856515637,1777952437913,00_baseline,128,0,0.001,dfl,805.7162362224146,820.3384407666283,14.622204544213636,0.01849602973005347,202645052,1,1.849602973005347,4,false,0.0,full_00_baseline_persistent_adam_rep04,baseline,1777948227679,ok,98.398257416,30.0,1,130,202645053
silu,1,standard,202655051,4,,896.8103872312207,1777952490776,00_baseline,128,0,0.001,dfl,805.7162362224146,839.2327117178155,33.51647549540101,0.042543197351024714,202655052,1,4.254319735102471,5,true,0.0,full_00_baseline_standard_rep05,baseline,1777948228581,ok,94.800640125,30.0,1,130,202655053
silu,1,persistent_adam,202655051,4,,900.6678609962163,1777952725227,00_baseline,128,0,0.001,dfl,805.7162362224146,827.4904989094241,21.77426268700956,0.025383629797538217,202655052,1,2.538362979753822,5,false,0.0,full_00_baseline_persistent_adam_rep05,baseline,1777948228641,ok,101.627072542,30.0,1,130,202655053
